Object	Correct_Category	DS_MaxLikelihood_Category	MV_MaxLikelihood_Category	DS_MinCost_Category	MV_MinCost_Category	DS_Pr[1]	DS_Pr[0]	MV_Pr[1]	MV_Pr[0]	DataCost_Estm_DS_Exp	DataCost_Estm_MV_Exp	DataCost_Estm_DS_ML	DataCost_Estm_MV_ML	DataCost_Estm_DS_Min	DataCost_Estm_MV_Min	DataCost_Estm_NoVote_Exp	DataCost_Estm_NoVote_Min	DataCost_Eval_DS_ML	DataCost_Eval_MV_ML	DataCost_Eval_DS_Min	DataCost_Eval_MV_Min	DataCost_Eval_DS_Soft	DataCost_Eval_MV_Soft	DataQuality_Estm_DS_ML	DataQuality_Estm_MV_ML	DataQuality_Estm_DS_Exp	DataQuality_Estm_MV_Exp	DataQuality_Estm_DS_Min	DataQuality_Estm_MV_Min	DataQuality_Eval_DS_ML	DataQuality_Eval_MV_ML	DataQuality_Eval_DS_Min	DataQuality_Eval_MV_Min	DataQuality_Eval_DS_Soft	DataQuality_Eval_MV_Soft
1	1	0	0	0	0	0.0972	0.9029	0.0000	1.0000	0.1754	0.0000	0.0972	0.0000	0.0972	0.0000	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000	0.9029	1.0000	80.57%	100.00%	64.92%	100.00%	80.57%	100.00%	-100.00%	-100.00%	-100.00%	-100.00%	-80.57%	-100.00%
10	0	1	0	1	0	0.8843	0.1157	0.4000	0.6000	0.2046	0.4800	0.1157	0.4000	0.1157	0.4000	0.5000	0.5000	1.0000	0.0000	1.0000	0.0000	0.8843	0.4000	76.87%	20.00%	59.09%	4.00%	76.87%	20.00%	-100.00%	100.00%	-100.00%	100.00%	-76.87%	20.00%
100	1	0	0	0	0	0.2466	0.7535	0.2000	0.8000	0.3715	0.3200	0.2466	0.2000	0.2466	0.2000	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000	0.7535	0.8000	50.69%	60.00%	25.69%	36.00%	50.69%	60.00%	-100.00%	-100.00%	-100.00%	-100.00%	-50.69%	-60.00%
1000	0	0	0	0	0	0.0372	0.9628	0.0000	1.0000	0.0717	0.0000	0.0372	0.0000	0.0372	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0372	0.0000	92.55%	100.00%	85.66%	100.00%	92.55%	100.00%	100.00%	100.00%	100.00%	100.00%	92.55%	100.00%
101	1	0	0	0	0	0.2983	0.7017	0.2000	0.8000	0.4186	0.3200	0.2983	0.2000	0.2983	0.2000	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000	0.7017	0.8000	40.34%	60.00%	16.28%	36.00%	40.34%	60.00%	-100.00%	-100.00%	-100.00%	-100.00%	-40.34%	-60.00%
102	1	0	0	0	0	0.3002	0.6998	0.2000	0.8000	0.4202	0.3200	0.3002	0.2000	0.3002	0.2000	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000	0.6998	0.8000	39.96%	60.00%	15.97%	36.00%	39.96%	60.00%	-100.00%	-100.00%	-100.00%	-100.00%	-39.96%	-60.00%
103	1	1	0	1	0	0.9286	0.0714	0.4000	0.6000	0.1326	0.4800	0.0714	0.4000	0.0714	0.4000	0.5000	0.5000	0.0000	1.0000	0.0000	1.0000	0.0714	0.6000	85.72%	20.00%	73.48%	4.00%	85.72%	20.00%	100.00%	-100.00%	100.00%	-100.00%	85.72%	-20.00%
104	1	0	0	0	0	0.2535	0.7465	0.2000	0.8000	0.3785	0.3200	0.2535	0.2000	0.2535	0.2000	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000	0.7465	0.8000	49.29%	60.00%	24.30%	36.00%	49.29%	60.00%	-100.00%	-100.00%	-100.00%	-100.00%	-49.29%	-60.00%
105	1	0	0	0	0	0.0533	0.9467	0.0000	1.0000	0.1010	0.0000	0.0533	0.0000	0.0533	0.0000	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000	0.9467	1.0000	89.34%	100.00%	79.81%	100.00%	89.34%	100.00%	-100.00%	-100.00%	-100.00%	-100.00%	-89.34%	-100.00%
106	0	1	0	1	0	0.5324	0.4676	0.2000	0.8000	0.4979	0.3200	0.4676	0.2000	0.4676	0.2000	0.5000	0.5000	1.0000	0.0000	1.0000	0.0000	0.5324	0.2000	6.47%	60.00%	0.42%	36.00%	6.47%	60.00%	-100.00%	100.00%	-100.00%	100.00%	-6.47%	60.00%
107	1	1	1	1	1	0.9965	0.0036	0.8000	0.2000	0.0071	0.3200	0.0036	0.2000	0.0036	0.2000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0036	0.2000	99.29%	60.00%	98.59%	36.00%	99.29%	60.00%	100.00%	100.00%	100.00%	100.00%	99.29%	60.00%
108	1	1	0	1	0	0.7188	0.2812	0.4000	0.6000	0.4042	0.4800	0.2812	0.4000	0.2812	0.4000	0.5000	0.5000	0.0000	1.0000	0.0000	1.0000	0.2812	0.6000	43.76%	20.00%	19.15%	4.00%	43.76%	20.00%	100.00%	-100.00%	100.00%	-100.00%	43.76%	-20.00%
109	1	1	1	1	1	1.0000	0.0001	0.8000	0.2000	0.0001	0.3200	0.0001	0.2000	0.0001	0.2000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0001	0.2000	99.99%	60.00%	99.98%	36.00%	99.99%	60.00%	100.00%	100.00%	100.00%	100.00%	99.99%	60.00%
11	0	0	0	0	0	0.0317	0.9683	0.0000	1.0000	0.0614	0.0000	0.0317	0.0000	0.0317	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0317	0.0000	93.66%	100.00%	87.72%	100.00%	93.66%	100.00%	100.00%	100.00%	100.00%	100.00%	93.66%	100.00%
110	0	0	0	0	0	0.1155	0.8845	0.0000	1.0000	0.2043	0.0000	0.1155	0.0000	0.1155	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.1155	0.0000	76.91%	100.00%	59.15%	100.00%	76.91%	100.00%	100.00%	100.00%	100.00%	100.00%	76.91%	100.00%
111	0	0	0	0	0	0.0225	0.9775	0.0000	1.0000	0.0440	0.0000	0.0225	0.0000	0.0225	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0225	0.0000	95.50%	100.00%	91.19%	100.00%	95.50%	100.00%	100.00%	100.00%	100.00%	100.00%	95.50%	100.00%
112	1	0	0	0	0	0.1699	0.8301	0.2000	0.8000	0.2820	0.3200	0.1699	0.2000	0.1699	0.2000	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000	0.8301	0.8000	66.02%	60.00%	43.59%	36.00%	66.02%	60.00%	-100.00%	-100.00%	-100.00%	-100.00%	-66.02%	-60.00%
113	0	0	0	0	0	0.1094	0.8906	0.2000	0.8000	0.1949	0.3200	0.1094	0.2000	0.1094	0.2000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.1094	0.2000	78.11%	60.00%	61.01%	36.00%	78.11%	60.00%	100.00%	100.00%	100.00%	100.00%	78.11%	60.00%
114	0	1	1	1	1	0.9708	0.0292	0.6000	0.4000	0.0567	0.4800	0.0292	0.4000	0.0292	0.4000	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000	0.9708	0.6000	94.16%	20.00%	88.65%	4.00%	94.16%	20.00%	-100.00%	-100.00%	-100.00%	-100.00%	-94.16%	-20.00%
115	1	1	1	1	1	0.9994	0.0006	0.8000	0.2000	0.0012	0.3200	0.0006	0.2000	0.0006	0.2000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0006	0.2000	99.88%	60.00%	99.76%	36.00%	99.88%	60.00%	100.00%	100.00%	100.00%	100.00%	99.88%	60.00%
116	1	1	1	1	1	0.9998	0.0002	1.0000	0.0000	0.0004	0.0000	0.0002	0.0000	0.0002	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	99.96%	100.00%	99.92%	100.00%	99.96%	100.00%	100.00%	100.00%	100.00%	100.00%	99.96%	100.00%
117	0	0	0	0	0	0.0809	0.9191	0.0000	1.0000	0.1487	0.0000	0.0809	0.0000	0.0809	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0809	0.0000	83.82%	100.00%	70.25%	100.00%	83.82%	100.00%	100.00%	100.00%	100.00%	100.00%	83.82%	100.00%
118	1	1	1	1	1	0.9686	0.0314	0.6000	0.4000	0.0608	0.4800	0.0314	0.4000	0.0314	0.4000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0314	0.4000	93.73%	20.00%	87.85%	4.00%	93.73%	20.00%	100.00%	100.00%	100.00%	100.00%	93.73%	20.00%
119	1	1	1	1	1	0.9989	0.0011	0.8000	0.2000	0.0022	0.3200	0.0011	0.2000	0.0011	0.2000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0011	0.2000	99.78%	60.00%	99.57%	36.00%	99.78%	60.00%	100.00%	100.00%	100.00%	100.00%	99.78%	60.00%
12	0	0	0	0	0	0.0401	0.9599	0.0000	1.0000	0.0770	0.0000	0.0401	0.0000	0.0401	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0401	0.0000	91.98%	100.00%	84.60%	100.00%	91.98%	100.00%	100.00%	100.00%	100.00%	100.00%	91.98%	100.00%
120	0	0	0	0	0	0.0342	0.9658	0.0000	1.0000	0.0660	0.0000	0.0342	0.0000	0.0342	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0342	0.0000	93.16%	100.00%	86.80%	100.00%	93.16%	100.00%	100.00%	100.00%	100.00%	100.00%	93.16%	100.00%
121	1	1	1	1	1	0.9980	0.0020	0.8000	0.2000	0.0040	0.3200	0.0020	0.2000	0.0020	0.2000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0020	0.2000	99.60%	60.00%	99.21%	36.00%	99.60%	60.00%	100.00%	100.00%	100.00%	100.00%	99.60%	60.00%
122	1	1	1	1	1	0.9996	0.0004	1.0000	0.0000	0.0009	0.0000	0.0004	0.0000	0.0004	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000	99.91%	100.00%	99.83%	100.00%	99.91%	100.00%	100.00%	100.00%	100.00%	100.00%	99.91%	100.00%
123	1	1	0	1	0	0.6125	0.3875	0.4000	0.6000	0.4747	0.4800	0.3875	0.4000	0.3875	0.4000	0.5000	0.5000	0.0000	1.0000	0.0000	1.0000	0.3875	0.6000	22.49%	20.00%	5.06%	4.00%	22.49%	20.00%	100.00%	-100.00%	100.00%	-100.00%	22.49%	-20.00%
124	1	1	0	1	0	0.7977	0.2023	0.4000	0.6000	0.3228	0.4800	0.2023	0.4000	0.2023	0.4000	0.5000	0.5000	0.0000	1.0000	0.0000	1.0000	0.2023	0.6000	59.53%	20.00%	35.44%	4.00%	59.53%	20.00%	100.00%	-100.00%	100.00%	-100.00%	59.53%	-20.00%
125	0	0	0	0	0	0.0547	0.9454	0.0000	1.0000	0.1033	0.0000	0.0547	0.0000	0.0547	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0547	0.0000	89.07%	100.00%	79.33%	100.00%	89.07%	100.00%	100.00%	100.00%	100.00%	100.00%	89.07%	100.00%
126	0	0	0	0	0	0.3525	0.6475	0.2000	0.8000	0.4565	0.3200	0.3525	0.2000	0.3525	0.2000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.3525	0.2000	29.49%	60.00%	8.70%	36.00%	29.49%	60.00%	100.00%	100.00%	100.00%	100.00%	29.49%	60.00%
127	0	0	0	0	0	0.1123	0.8878	0.0000	1.0000	0.1993	0.0000	0.1123	0.0000	0.1123	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.1123	0.0000	77.55%	100.00%	60.14%	100.00%	77.55%	100.00%	100.00%	100.00%	100.00%	100.00%	77.55%	100.00%
128	1	1	1	1	1	0.9337	0.0663	0.6000	0.4000	0.1238	0.4800	0.0663	0.4000	0.0663	0.4000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0663	0.4000	86.75%	20.00%	75.25%	4.00%	86.75%	20.00%	100.00%	100.00%	100.00%	100.00%	86.75%	20.00%
129	1	0	0	0	0	0.0743	0.9257	0.0000	1.0000	0.1376	0.0000	0.0743	0.0000	0.0743	0.0000	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000	0.9257	1.0000	85.14%	100.00%	72.48%	100.00%	85.14%	100.00%	-100.00%	-100.00%	-100.00%	-100.00%	-85.14%	-100.00%
13	0	0	0	0	0	0.0454	0.9546	0.0000	1.0000	0.0866	0.0000	0.0454	0.0000	0.0454	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0454	0.0000	90.92%	100.00%	82.67%	100.00%	90.92%	100.00%	100.00%	100.00%	100.00%	100.00%	90.92%	100.00%
130	1	0	0	0	0	0.3578	0.6423	0.2000	0.8000	0.4595	0.3200	0.3578	0.2000	0.3578	0.2000	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000	0.6423	0.8000	28.45%	60.00%	8.09%	36.00%	28.45%	60.00%	-100.00%	-100.00%	-100.00%	-100.00%	-28.45%	-60.00%
131	0	1	1	1	1	0.9492	0.0508	0.6000	0.4000	0.0965	0.4800	0.0508	0.4000	0.0508	0.4000	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000	0.9492	0.6000	89.83%	20.00%	80.70%	4.00%	89.83%	20.00%	-100.00%	-100.00%	-100.00%	-100.00%	-89.83%	-20.00%
132	1	1	1	1	1	0.9999	0.0002	1.0000	0.0000	0.0003	0.0000	0.0002	0.0000	0.0002	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	99.97%	100.00%	99.94%	100.00%	99.97%	100.00%	100.00%	100.00%	100.00%	100.00%	99.97%	100.00%
133	1	0	0	0	0	0.0782	0.9218	0.0000	1.0000	0.1442	0.0000	0.0782	0.0000	0.0782	0.0000	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000	0.9218	1.0000	84.35%	100.00%	71.16%	100.00%	84.35%	100.00%	-100.00%	-100.00%	-100.00%	-100.00%	-84.35%	-100.00%
134	0	1	0	1	0	0.6561	0.3439	0.4000	0.6000	0.4513	0.4800	0.3439	0.4000	0.3439	0.4000	0.5000	0.5000	1.0000	0.0000	1.0000	0.0000	0.6561	0.4000	31.21%	20.00%	9.74%	4.00%	31.21%	20.00%	-100.00%	100.00%	-100.00%	100.00%	-31.21%	20.00%
135	0	0	0	0	0	0.3081	0.6919	0.2000	0.8000	0.4263	0.3200	0.3081	0.2000	0.3081	0.2000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.3081	0.2000	38.38%	60.00%	14.73%	36.00%	38.38%	60.00%	100.00%	100.00%	100.00%	100.00%	38.38%	60.00%
136	1	1	1	1	1	0.9452	0.0548	0.6000	0.4000	0.1037	0.4800	0.0548	0.4000	0.0548	0.4000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0548	0.4000	89.03%	20.00%	79.27%	4.00%	89.03%	20.00%	100.00%	100.00%	100.00%	100.00%	89.03%	20.00%
137	0	0	0	0	0	0.0658	0.9342	0.0000	1.0000	0.1230	0.0000	0.0658	0.0000	0.0658	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0658	0.0000	86.83%	100.00%	75.40%	100.00%	86.83%	100.00%	100.00%	100.00%	100.00%	100.00%	86.83%	100.00%
138	1	0	0	0	0	0.1477	0.8523	0.2000	0.8000	0.2517	0.3200	0.1477	0.2000	0.1477	0.2000	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000	0.8523	0.8000	70.47%	60.00%	49.65%	36.00%	70.47%	60.00%	-100.00%	-100.00%	-100.00%	-100.00%	-70.47%	-60.00%
139	1	1	1	1	1	1.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
14	1	1	1	1	1	1.0000	0.0000	1.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	99.99%	100.00%	99.99%	100.00%	99.99%	100.00%	100.00%	100.00%	100.00%	100.00%	99.99%	100.00%
140	1	0	0	0	0	0.0452	0.9548	0.0000	1.0000	0.0864	0.0000	0.0452	0.0000	0.0452	0.0000	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000	0.9548	1.0000	90.96%	100.00%	82.73%	100.00%	90.96%	100.00%	-100.00%	-100.00%	-100.00%	-100.00%	-90.96%	-100.00%
141	0	0	0	0	0	0.0715	0.9285	0.0000	1.0000	0.1328	0.0000	0.0715	0.0000	0.0715	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0715	0.0000	85.70%	100.00%	73.44%	100.00%	85.70%	100.00%	100.00%	100.00%	100.00%	100.00%	85.70%	100.00%
142	0	0	0	0	0	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
143	1	0	0	0	0	0.0164	0.9836	0.0000	1.0000	0.0322	0.0000	0.0164	0.0000	0.0164	0.0000	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000	0.9836	1.0000	96.73%	100.00%	93.56%	100.00%	96.73%	100.00%	-100.00%	-100.00%	-100.00%	-100.00%	-96.73%	-100.00%
144	1	0	0	0	0	0.4915	0.5085	0.2000	0.8000	0.4999	0.3200	0.4915	0.2000	0.4915	0.2000	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000	0.5085	0.8000	1.70%	60.00%	0.03%	36.00%	1.70%	60.00%	-100.00%	-100.00%	-100.00%	-100.00%	-1.70%	-60.00%
145	1	1	1	1	1	0.9834	0.0166	0.6000	0.4000	0.0326	0.4800	0.0166	0.4000	0.0166	0.4000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0166	0.4000	96.68%	20.00%	93.48%	4.00%	96.68%	20.00%	100.00%	100.00%	100.00%	100.00%	96.68%	20.00%
146	0	0	0	0	0	0.0565	0.9435	0.0000	1.0000	0.1066	0.0000	0.0565	0.0000	0.0565	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0565	0.0000	88.70%	100.00%	78.68%	100.00%	88.70%	100.00%	100.00%	100.00%	100.00%	100.00%	88.70%	100.00%
147	1	0	0	0	0	0.3835	0.6165	0.2000	0.8000	0.4729	0.3200	0.3835	0.2000	0.3835	0.2000	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000	0.6165	0.8000	23.29%	60.00%	5.43%	36.00%	23.29%	60.00%	-100.00%	-100.00%	-100.00%	-100.00%	-23.29%	-60.00%
148	0	0	0	0	0	0.0340	0.9661	0.0000	1.0000	0.0656	0.0000	0.0340	0.0000	0.0340	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0340	0.0000	93.21%	100.00%	86.88%	100.00%	93.21%	100.00%	100.00%	100.00%	100.00%	100.00%	93.21%	100.00%
149	0	0	0	0	0	0.0701	0.9299	0.0000	1.0000	0.1304	0.0000	0.0701	0.0000	0.0701	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0701	0.0000	85.98%	100.00%	73.92%	100.00%	85.98%	100.00%	100.00%	100.00%	100.00%	100.00%	85.98%	100.00%
15	0	0	0	0	0	0.0103	0.9897	0.0000	1.0000	0.0203	0.0000	0.0103	0.0000	0.0103	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0103	0.0000	97.95%	100.00%	95.93%	100.00%	97.95%	100.00%	100.00%	100.00%	100.00%	100.00%	97.95%	100.00%
150	0	0	0	0	0	0.0628	0.9372	0.0000	1.0000	0.1176	0.0000	0.0628	0.0000	0.0628	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0628	0.0000	87.45%	100.00%	76.47%	100.00%	87.45%	100.00%	100.00%	100.00%	100.00%	100.00%	87.45%	100.00%
151	0	0	0	0	0	0.2710	0.7290	0.2000	0.8000	0.3951	0.3200	0.2710	0.2000	0.2710	0.2000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.2710	0.2000	45.79%	60.00%	20.97%	36.00%	45.79%	60.00%	100.00%	100.00%	100.00%	100.00%	45.79%	60.00%
152	0	0	0	0	0	0.0510	0.9490	0.0000	1.0000	0.0967	0.0000	0.0510	0.0000	0.0510	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0510	0.0000	89.81%	100.00%	80.65%	100.00%	89.81%	100.00%	100.00%	100.00%	100.00%	100.00%	89.81%	100.00%
153	0	0	0	0	0	0.0622	0.9378	0.0000	1.0000	0.1167	0.0000	0.0622	0.0000	0.0622	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0622	0.0000	87.55%	100.00%	76.65%	100.00%	87.55%	100.00%	100.00%	100.00%	100.00%	100.00%	87.55%	100.00%
154	0	0	0	0	0	0.0605	0.9395	0.0000	1.0000	0.1137	0.0000	0.0605	0.0000	0.0605	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0605	0.0000	87.89%	100.00%	77.25%	100.00%	87.89%	100.00%	100.00%	100.00%	100.00%	100.00%	87.89%	100.00%
155	0	0	0	0	0	0.1088	0.8912	0.0000	1.0000	0.1939	0.0000	0.1088	0.0000	0.1088	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.1088	0.0000	78.25%	100.00%	61.22%	100.00%	78.25%	100.00%	100.00%	100.00%	100.00%	100.00%	78.25%	100.00%
156	0	0	0	0	0	0.0191	0.9809	0.0000	1.0000	0.0374	0.0000	0.0191	0.0000	0.0191	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0191	0.0000	96.18%	100.00%	92.51%	100.00%	96.18%	100.00%	100.00%	100.00%	100.00%	100.00%	96.18%	100.00%
157	1	1	0	1	0	0.7349	0.2651	0.4000	0.6000	0.3897	0.4800	0.2651	0.4000	0.2651	0.4000	0.5000	0.5000	0.0000	1.0000	0.0000	1.0000	0.2651	0.6000	46.97%	20.00%	22.07%	4.00%	46.97%	20.00%	100.00%	-100.00%	100.00%	-100.00%	46.97%	-20.00%
158	0	1	0	1	0	0.9295	0.0705	0.4000	0.6000	0.1311	0.4800	0.0705	0.4000	0.0705	0.4000	0.5000	0.5000	1.0000	0.0000	1.0000	0.0000	0.9295	0.4000	85.90%	20.00%	73.79%	4.00%	85.90%	20.00%	-100.00%	100.00%	-100.00%	100.00%	-85.90%	20.00%
159	0	0	0	0	0	0.0586	0.9414	0.0000	1.0000	0.1103	0.0000	0.0586	0.0000	0.0586	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0586	0.0000	88.28%	100.00%	77.93%	100.00%	88.28%	100.00%	100.00%	100.00%	100.00%	100.00%	88.28%	100.00%
16	1	1	1	1	1	0.9946	0.0054	0.8000	0.2000	0.0107	0.3200	0.0054	0.2000	0.0054	0.2000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0054	0.2000	98.92%	60.00%	97.86%	36.00%	98.92%	60.00%	100.00%	100.00%	100.00%	100.00%	98.92%	60.00%
160	0	0	0	0	0	0.0586	0.9414	0.0000	1.0000	0.1103	0.0000	0.0586	0.0000	0.0586	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0586	0.0000	88.28%	100.00%	77.93%	100.00%	88.28%	100.00%	100.00%	100.00%	100.00%	100.00%	88.28%	100.00%
161	0	0	0	0	0	0.1376	0.8625	0.0000	1.0000	0.2373	0.0000	0.1376	0.0000	0.1376	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.1376	0.0000	72.49%	100.00%	52.55%	100.00%	72.49%	100.00%	100.00%	100.00%	100.00%	100.00%	72.49%	100.00%
162	1	1	0	1	0	0.9322	0.0678	0.4000	0.6000	0.1264	0.4800	0.0678	0.4000	0.0678	0.4000	0.5000	0.5000	0.0000	1.0000	0.0000	1.0000	0.0678	0.6000	86.44%	20.00%	74.71%	4.00%	86.44%	20.00%	100.00%	-100.00%	100.00%	-100.00%	86.44%	-20.00%
163	1	1	0	1	0	0.5103	0.4897	0.4000	0.6000	0.4998	0.4800	0.4897	0.4000	0.4897	0.4000	0.5000	0.5000	0.0000	1.0000	0.0000	1.0000	0.4897	0.6000	2.06%	20.00%	0.04%	4.00%	2.06%	20.00%	100.00%	-100.00%	100.00%	-100.00%	2.06%	-20.00%
164	1	1	1	1	1	0.9895	0.0105	0.8000	0.2000	0.0208	0.3200	0.0105	0.2000	0.0105	0.2000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0105	0.2000	97.90%	60.00%	95.84%	36.00%	97.90%	60.00%	100.00%	100.00%	100.00%	100.00%	97.90%	60.00%
165	0	0	0	0	0	0.0471	0.9529	0.0000	1.0000	0.0898	0.0000	0.0471	0.0000	0.0471	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0471	0.0000	90.58%	100.00%	82.05%	100.00%	90.58%	100.00%	100.00%	100.00%	100.00%	100.00%	90.58%	100.00%
166	0	1	1	1	1	0.9997	0.0004	1.0000	0.0000	0.0007	0.0000	0.0004	0.0000	0.0004	0.0000	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000	0.9997	1.0000	99.93%	100.00%	99.86%	100.00%	99.93%	100.00%	-100.00%	-100.00%	-100.00%	-100.00%	-99.93%	-100.00%
167	1	0	0	0	0	0.0629	0.9372	0.0000	1.0000	0.1178	0.0000	0.0629	0.0000	0.0629	0.0000	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000	0.9372	1.0000	87.43%	100.00%	76.44%	100.00%	87.43%	100.00%	-100.00%	-100.00%	-100.00%	-100.00%	-87.43%	-100.00%
168	1	1	0	1	0	0.7173	0.2828	0.4000	0.6000	0.4056	0.4800	0.2828	0.4000	0.2828	0.4000	0.5000	0.5000	0.0000	1.0000	0.0000	1.0000	0.2828	0.6000	43.45%	20.00%	18.88%	4.00%	43.45%	20.00%	100.00%	-100.00%	100.00%	-100.00%	43.45%	-20.00%
169	0	0	0	0	0	0.2876	0.7124	0.2000	0.8000	0.4098	0.3200	0.2876	0.2000	0.2876	0.2000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.2876	0.2000	42.48%	60.00%	18.05%	36.00%	42.48%	60.00%	100.00%	100.00%	100.00%	100.00%	42.48%	60.00%
17	0	0	0	0	0	0.0540	0.9461	0.0000	1.0000	0.1021	0.0000	0.0540	0.0000	0.0540	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0540	0.0000	89.21%	100.00%	79.58%	100.00%	89.21%	100.00%	100.00%	100.00%	100.00%	100.00%	89.21%	100.00%
170	0	1	0	1	0	0.8292	0.1708	0.4000	0.6000	0.2832	0.4800	0.1708	0.4000	0.1708	0.4000	0.5000	0.5000	1.0000	0.0000	1.0000	0.0000	0.8292	0.4000	65.84%	20.00%	43.35%	4.00%	65.84%	20.00%	-100.00%	100.00%	-100.00%	100.00%	-65.84%	20.00%
171	1	1	1	1	1	0.9690	0.0310	0.6000	0.4000	0.0601	0.4800	0.0310	0.4000	0.0310	0.4000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0310	0.4000	93.79%	20.00%	87.97%	4.00%	93.79%	20.00%	100.00%	100.00%	100.00%	100.00%	93.79%	20.00%
