Object	Correct_Category	DS_MaxLikelihood_Category	MV_MaxLikelihood_Category	DS_MinCost_Category	MV_MinCost_Category	DS_Pr[1]	DS_Pr[0]	MV_Pr[1]	MV_Pr[0]	DataCost_Estm_DS_Exp	DataCost_Estm_MV_Exp	DataCost_Estm_DS_ML	DataCost_Estm_MV_ML	DataCost_Estm_DS_Min	DataCost_Estm_MV_Min	DataCost_Estm_NoVote_Exp	DataCost_Estm_NoVote_Min	DataCost_Eval_DS_ML	DataCost_Eval_MV_ML	DataCost_Eval_DS_Min	DataCost_Eval_MV_Min	DataCost_Eval_DS_Soft	DataCost_Eval_MV_Soft	DataQuality_Estm_DS_ML	DataQuality_Estm_MV_ML	DataQuality_Estm_DS_Exp	DataQuality_Estm_MV_Exp	DataQuality_Estm_DS_Min	DataQuality_Estm_MV_Min	DataQuality_Eval_DS_ML	DataQuality_Eval_MV_ML	DataQuality_Eval_DS_Min	DataQuality_Eval_MV_Min	DataQuality_Eval_DS_Soft	DataQuality_Eval_MV_Soft
571	0	0	0	0	0	0.0321	0.9679	0.0000	1.0000	0.0621	0.0000	0.0321	0.0000	0.0321	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0321	0.0000	93.58%	100.00%	87.57%	100.00%	93.58%	100.00%	100.00%	100.00%	100.00%	100.00%	93.58%	100.00%
572	0	0	0	0	0	0.0378	0.9623	0.0000	1.0000	0.0726	0.0000	0.0378	0.0000	0.0378	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0378	0.0000	92.45%	100.00%	85.47%	100.00%	92.45%	100.00%	100.00%	100.00%	100.00%	100.00%	92.45%	100.00%
573	0	0	0	0	0	0.0495	0.9505	0.0000	1.0000	0.0941	0.0000	0.0495	0.0000	0.0495	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0495	0.0000	90.10%	100.00%	81.17%	100.00%	90.10%	100.00%	100.00%	100.00%	100.00%	100.00%	90.10%	100.00%
574	1	0	0	0	0	0.4476	0.5524	0.2000	0.8000	0.4945	0.3200	0.4476	0.2000	0.4476	0.2000	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000	0.5524	0.8000	10.49%	60.00%	1.10%	36.00%	10.49%	60.00%	-100.00%	-100.00%	-100.00%	-100.00%	-10.49%	-60.00%
575	0	1	1	1	1	0.9960	0.0040	0.8000	0.2000	0.0080	0.3200	0.0040	0.2000	0.0040	0.2000	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000	0.9960	0.8000	99.20%	60.00%	98.40%	36.00%	99.20%	60.00%	-100.00%	-100.00%	-100.00%	-100.00%	-99.20%	-60.00%
576	1	0	0	0	0	0.0452	0.9548	0.0000	1.0000	0.0863	0.0000	0.0452	0.0000	0.0452	0.0000	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000	0.9548	1.0000	90.97%	100.00%	82.75%	100.00%	90.97%	100.00%	-100.00%	-100.00%	-100.00%	-100.00%	-90.97%	-100.00%
577	0	0	0	0	0	0.0279	0.9721	0.0000	1.0000	0.0542	0.0000	0.0279	0.0000	0.0279	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0279	0.0000	94.43%	100.00%	89.16%	100.00%	94.43%	100.00%	100.00%	100.00%	100.00%	100.00%	94.43%	100.00%
578	0	0	0	0	0	0.0483	0.9517	0.0000	1.0000	0.0919	0.0000	0.0483	0.0000	0.0483	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0483	0.0000	90.35%	100.00%	81.63%	100.00%	90.35%	100.00%	100.00%	100.00%	100.00%	100.00%	90.35%	100.00%
579	1	0	0	0	0	0.0618	0.9382	0.0000	1.0000	0.1160	0.0000	0.0618	0.0000	0.0618	0.0000	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000	0.9382	1.0000	87.63%	100.00%	76.79%	100.00%	87.63%	100.00%	-100.00%	-100.00%	-100.00%	-100.00%	-87.63%	-100.00%
58	1	0	0	0	0	0.0801	0.9199	0.2000	0.8000	0.1474	0.3200	0.0801	0.2000	0.0801	0.2000	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000	0.9199	0.8000	83.97%	60.00%	70.52%	36.00%	83.97%	60.00%	-100.00%	-100.00%	-100.00%	-100.00%	-83.97%	-60.00%
580	1	1	1	1	1	0.9997	0.0003	1.0000	0.0000	0.0007	0.0000	0.0003	0.0000	0.0003	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	99.93%	100.00%	99.87%	100.00%	99.93%	100.00%	100.00%	100.00%	100.00%	100.00%	99.93%	100.00%
581	1	1	1	1	1	0.9979	0.0021	0.8000	0.2000	0.0042	0.3200	0.0021	0.2000	0.0021	0.2000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0021	0.2000	99.58%	60.00%	99.16%	36.00%	99.58%	60.00%	100.00%	100.00%	100.00%	100.00%	99.58%	60.00%
582	1	0	0	0	0	0.2240	0.7761	0.2000	0.8000	0.3476	0.3200	0.2240	0.2000	0.2240	0.2000	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000	0.7761	0.8000	55.21%	60.00%	30.48%	36.00%	55.21%	60.00%	-100.00%	-100.00%	-100.00%	-100.00%	-55.21%	-60.00%
583	0	0	0	0	0	0.0479	0.9521	0.0000	1.0000	0.0912	0.0000	0.0479	0.0000	0.0479	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0479	0.0000	90.42%	100.00%	81.75%	100.00%	90.42%	100.00%	100.00%	100.00%	100.00%	100.00%	90.42%	100.00%
584	1	0	0	0	0	0.0826	0.9174	0.4000	0.6000	0.1515	0.4800	0.0826	0.4000	0.0826	0.4000	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000	0.9174	0.6000	83.48%	20.00%	69.70%	4.00%	83.48%	20.00%	-100.00%	-100.00%	-100.00%	-100.00%	-83.48%	-20.00%
585	1	0	0	0	0	0.0522	0.9478	0.2000	0.8000	0.0990	0.3200	0.0522	0.2000	0.0522	0.2000	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000	0.9478	0.8000	89.56%	60.00%	80.20%	36.00%	89.56%	60.00%	-100.00%	-100.00%	-100.00%	-100.00%	-89.56%	-60.00%
586	1	1	1	1	1	1.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	99.99%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
587	0	0	0	0	0	0.0678	0.9322	0.0000	1.0000	0.1263	0.0000	0.0678	0.0000	0.0678	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0678	0.0000	86.45%	100.00%	74.73%	100.00%	86.45%	100.00%	100.00%	100.00%	100.00%	100.00%	86.45%	100.00%
588	1	1	1	1	1	1.0000	0.0000	0.6000	0.4000	0.0000	0.4800	0.0000	0.4000	0.0000	0.4000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4000	100.00%	20.00%	100.00%	4.00%	100.00%	20.00%	100.00%	100.00%	100.00%	100.00%	100.00%	20.00%
589	1	1	1	1	1	0.9999	0.0001	1.0000	0.0000	0.0002	0.0000	0.0001	0.0000	0.0001	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	99.98%	100.00%	99.97%	100.00%	99.98%	100.00%	100.00%	100.00%	100.00%	100.00%	99.98%	100.00%
59	0	1	1	1	1	0.9338	0.0662	0.6000	0.4000	0.1237	0.4800	0.0662	0.4000	0.0662	0.4000	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000	0.9338	0.6000	86.75%	20.00%	75.26%	4.00%	86.75%	20.00%	-100.00%	-100.00%	-100.00%	-100.00%	-86.75%	-20.00%
590	0	1	1	1	1	0.9737	0.0264	0.8000	0.2000	0.0513	0.3200	0.0264	0.2000	0.0264	0.2000	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000	0.9737	0.8000	94.73%	60.00%	89.74%	36.00%	94.73%	60.00%	-100.00%	-100.00%	-100.00%	-100.00%	-94.73%	-60.00%
591	0	0	0	0	0	0.0400	0.9600	0.0000	1.0000	0.0769	0.0000	0.0400	0.0000	0.0400	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0400	0.0000	91.99%	100.00%	84.63%	100.00%	91.99%	100.00%	100.00%	100.00%	100.00%	100.00%	91.99%	100.00%
592	0	0	0	0	0	0.0128	0.9872	0.0000	1.0000	0.0253	0.0000	0.0128	0.0000	0.0128	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0128	0.0000	97.44%	100.00%	94.95%	100.00%	97.44%	100.00%	100.00%	100.00%	100.00%	100.00%	97.44%	100.00%
593	0	1	0	1	0	0.6762	0.3238	0.4000	0.6000	0.4379	0.4800	0.3238	0.4000	0.3238	0.4000	0.5000	0.5000	1.0000	0.0000	1.0000	0.0000	0.6762	0.4000	35.24%	20.00%	12.42%	4.00%	35.24%	20.00%	-100.00%	100.00%	-100.00%	100.00%	-35.24%	20.00%
